# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35748
#@/user_id	snylonue-home-win10
biao ji xia chuan 	标记下传	c=1 d=1 t=7329
biao kang ti 	标抗体	c=1 d=1 t=26545
biao le 	标了	c=1 d=1 t=16643
biao mian 	表面	c=3 d=1.00001 t=11219
biao mian shang 	表面上	c=1 d=1 t=18008
biao qian 	标签	c=7 d=0.451581 t=35748
biao qian ye 	标签页	c=2 d=1 t=20928
biao qing 	表情	c=1 d=1 t=10506
biao shi 	表示	c=1 d=0.313486 t=35748
biao ti 	标题	c=8 d=0.375271 t=33951
biao ti cai shi 	标题才是	c=1 d=1 t=15359
biao ti shang 	标题上	c=1 d=1 t=23151
biao xian 	表现	c=8 d=1.99307 t=32470
biao xian shou fa 	表现手法	c=2 d=1.99005 t=14668
biao xian wei 	表现为	c=1 d=1 t=16330
biao xian xing shi 	表现形式	c=1 d=1 t=7779
biao zhan 	表站	c=1 d=1 t=20681
biao zhun 	标准	c=3 d=1.00007 t=26257
biao zhun cha 	标准差	c=1 d=1 t=21717
bie 	别	c=3 d=1 t=32123
bie de 	别的	c=5 d=1.00008 t=34724
bie ren 	别人	c=3 d=1 t=32142
bie shuo le 	别说了	c=1 d=1 t=2096
bie wan 	别玩	c=1 d=1 t=23352
bie wang le 	别忘了	c=1 d=1 t=4167
bie yong 	别用	c=1 d=1 t=15819
bin 	鬓	c=1 d=1 t=9599
bin qiang 	宾枪	c=1 d=1 t=6938
bing 	兵	c=0 d=0.1 t=10674
bing 	并	c=3 d=1 t=33314
bing 	病	c=0 d=0.1 t=33964
bing 	饼	c=1 d=1.00005 t=24422
bing ba 	并把	c=0 d=0.1 t=23701
bing ba ta 	并把它	c=1 d=1 t=23702
bing bu 	并不	c=2 d=0.1 t=31569
bing bu cong 	并不从	c=1 d=1 t=31570
bing bu shi 	并不是	c=1 d=1 t=28833
bing fa zheng 	并发症	c=1 d=1 t=28821
bing guo 	冰菓	c=2 d=1.01869 t=14698
bing guo 	冰鐹	c=1 d=1 t=13901
bing jiao 	病娇	c=1 d=1 t=35234
bing mei you 	并没有	c=1 d=1 t=4596
bing qi lai 	并起来	c=1 d=1 t=10847
